exchange,exchange_token,trading_symbol,groww_symbol,name,instrument_type,segment,series,isin,lot_size,tick_size,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,757721,12VCCL29C,NSE-12VCCL29C,VCCL 12% 2029 SR I,EQ,CASH,N0,INE04HY07278,1.0,0.01,0,1,12VCCL29C-N0,0
NSE,757892,111ESFB31,NSE-111ESFB31,ESFB 11.1% 2031 SR 1,EQ,CASH,N0,INE818W08131,1.0,0.01,0,1,111ESFB31-N0,0
NSE,755996,10UCL26,NSE-10UCL26,UCL-10%-24-10-26-NCD,EQ,CASH,ND,INE583D07562,1.0,0.01,0,1,10UCL26-ND,0
NSE,29274,12VCCL29A,NSE-12VCCL29A,VCCL12% 2029,EQ,CASH,N0,INE04HY07203,1.0,0.01,0,1,12VCCL29A-N0,0
NSE,29749,12VCCL27B,NSE-12VCCL27B,VCCL 12% 2027,EQ,CASH,N0,INE04HY07211,1.0,0.01,0,1,12VCCL27B-N0,0
NSE,25812,12VCCL27A,NSE-12VCCL27A,VCCL 12% 2027 SR C,EQ,CASH,N0,INE04HY07179,1.0,0.01,0,1,12VCCL27A-N0,0
NSE,759394,118VCCL27B,NSE-118VCCL27B,VCCL 11.8% 2027 SR B,EQ,CASH,N0,INE04HY07336,1.0,0.01,0,1,118VCCL27B-N0,0
NSE,20771,10ISFL26,NSE-10ISFL26,ISFL-10%-21-12-26-NCD,EQ,CASH,N3,INE413U07277,1.0,0.01,0,1,10ISFL26-N3,0
NSE,759098,12AFIL27A,NSE-12AFIL27A,AFIL 12% 2027,EQ,CASH,N0,INE916Y07040,1.0,0.01,0,1,12AFIL27A-N0,0
NSE,756916,12VCCL29B,NSE-12VCCL29B,VCCL 12% 2029,EQ,CASH,N0,INE04HY07229,1.0,0.01,0,1,12VCCL29B-N0,0
NSE,13061,360ONE,NSE-360ONE,360 One Wam,EQ,CASH,EQ,INE466L01038,1.0,0.1,1,1,360ONE-EQ,0
NSE,25816,116VCCL26,NSE-116VCCL26,VCCL 11.6% 2026 SR A,EQ,CASH,N0,INE04HY07195,1.0,0.01,0,1,116VCCL26-N0,0
NSE,17352,1102NFL26,NSE-1102NFL26,1102NFL26,EQ,CASH,N8,INE342T07403,1.0,0.01,1,1,1102NFL26-N8,0
NSE,22843,11UCL26,NSE-11UCL26,UCL-11%-27-5-26-NCD,EQ,CASH,NC,INE583D07455,1.0,0.01,0,1,11UCL26-NC,0
NSE,2595,3PLAND,NSE-3PLAND,3P Land Holdings,EQ,CASH,EQ,INE105C01023,1.0,0.01,1,1,3PLAND-EQ,0
NSE,28311,364D181225,NSE-364D181225,364TB181225,EQ,CASH,TB,IN002024Z362,100.0,0.01,0,1,364D181225-TB,0
NSE,445,5PAISA,NSE-5PAISA,5Paisa Capital,EQ,CASH,EQ,INE618L01018,1.0,0.05,1,1,5PAISA-EQ,0
NSE,5994,601RJ26,NSE-601RJ26,601RAJSDL26,EQ,CASH,SG,IN2920210316,100.0,0.01,0,1,601RJ26-SG,0
NSE,6232,3IINFOLTD,NSE-3IINFOLTD,3i Infotech,EQ,CASH,EQ,INE748C01038,1.0,0.01,1,1,3IINFOLTD-EQ,0
NSE,474,3MINDIA,NSE-3MINDIA,3M India,EQ,CASH,EQ,INE470A01017,1.0,5.0,1,1,3MINDIA-EQ,0
NSE,18973,619GS2034,NSE-619GS2034,619GOI2034,EQ,CASH,GS,IN0020200096,1.0,0.01,0,1,619GS2034-GS,0
NSE,758589,364D200826,NSE-364D200826,364TB20826,EQ,CASH,TB,IN002025Z211,100.0,0.01,0,1,364D200826-TB,0
NSE,30188,364D190326,NSE-364D190326,364TB19326,EQ,CASH,TB,IN002024Z495,100.0,0.01,0,1,364D190326-TB,0
NSE,13472,645GS2029,NSE-645GS2029,645GS2029,EQ,CASH,GS,IN0020190362,1.0,0.01,0,1,645GS2029-GS,0
NSE,22135,633TN30,NSE-633TN30,633TNSDL30,EQ,CASH,SG,IN3120200222,100.0,0.01,0,1,633TN30-SG,0
NSE,11868,63MOONS,NSE-63MOONS,63 Moons Tech,EQ,CASH,EQ,INE111B01023,1.0,0.05,1,1,63MOONS-EQ,0
NSE,7843,654GS2032,NSE-654GS2032,654GOI2032,EQ,CASH,GS,IN0020210244,1.0,0.01,0,1,654GS2032-GS,0
NSE,1839,653TN31,NSE-653TN31,653TNSDL31,EQ,CASH,SG,IN3120200339,100.0,0.01,0,1,653TN31-SG,0
NSE,3204,664GS2035,NSE-664GS2035,664GOI35,EQ,CASH,GS,IN0020210020,1.0,0.01,0,1,664GS2035-GS,0
NSE,7193,662GS2051,NSE-662GS2051,662GOI2051,EQ,CASH,GS,IN0020160092,1.0,0.01,0,1,662GS2051-GS,0
NSE,1651,663KA34,NSE-663KA34,663KARSDL34,EQ,CASH,SG,IN1920200525,100.0,0.01,0,1,663KA34-SG,0
NSE,956,667GS2050,NSE-667GS2050,667GOI2050,EQ,CASH,GS,IN0020200252,1.0,0.01,0,1,667GS2050-GS,0
NSE,3750,672GJ30,NSE-672GJ30,672GUJSDL30,EQ,CASH,SG,IN1520210015,100.0,0.01,0,1,672GJ30-SG,0
NSE,5577,667GS2035,NSE-667GS2035,667GS2035,EQ,CASH,GS,IN0020210152,1.0,0.01,0,1,667GS2035-GS,0
NSE,618,675KA33A,NSE-675KA33A,675KASDL33,EQ,CASH,SG,IN1920200327,100.0,0.01,0,1,675KA33A-SG,0
NSE,2317,676GS2061,NSE-676GS2061,676GS2061,EQ,CASH,GS,IN0020200401,1.0,0.01,0,1,676GS2061-GS,0
NSE,1092,675KA34,NSE-675KA34,675KARSDL34,EQ,CASH,SG,IN1920200400,100.0,0.01,0,1,675KA34-SG,0
NSE,74,675KA33,NSE-675KA33,675KARSDL33,EQ,CASH,SG,IN1920200244,100.0,0.01,0,1,675KA33-SG,0
NSE,3379,687MH33,NSE-687MH33,687MAHSDL33,EQ,CASH,SG,IN2220210024,100.0,0.01,0,1,687MH33-SG,0
NSE,5987,693KA32,NSE-693KA32,693KARSDL32,EQ,CASH,SG,IN1920210029,100.0,0.01,0,1,693KA32-SG,0
NSE,22126,694TN50,NSE-694TN50,694TNSDL50,EQ,CASH,SG,IN3120190266,100.0,0.01,0,1,694TN50-SG,0
NSE,22438,68GS2060,NSE-68GS2060,68GOI2060,EQ,CASH,GS,IN0020200187,1.0,0.01,0,1,68GS2060-GS,0
NSE,5977,689GJ31,NSE-689GJ31,689GUJSDL31,EQ,CASH,SG,IN1520210114,100.0,0.01,0,1,689GJ31-SG,0
NSE,6992,692AP41,NSE-692AP41,692APSDL41,EQ,CASH,SG,IN1020210416,100.0,0.01,0,1,692AP41-SG,0
NSE,2260,695TN31,NSE-695TN31,695TNSDL31,EQ,CASH,SG,IN3120200362,100.0,0.01,0,1,695TN31-SG,0
NSE,2257,697RJ51A,NSE-697RJ51A,697RJSDL51,EQ,CASH,SG,IN2920200713,100.0,0.01,0,1,697RJ51A-SG,0
NSE,5471,695TN31B,NSE-695TN31B,695TAMSDL31,EQ,CASH,SG,IN3120210189,100.0,0.01,0,1,695TN31B-SG,0
NSE,6817,695GS2061,NSE-695GS2061,695GOI2061,EQ,CASH,GS,IN0020210202,1.0,0.01,0,1,695GS2061-GS,0
NSE,6696,699GS2051,NSE-699GS2051,699GOI2051,EQ,CASH,GS,IN0020210194,1.0,0.01,0,1,699GS2051-GS,0
NSE,5002,701MH32,NSE-701MH32,701MHSDL32,EQ,CASH,SG,IN2220210180,100.0,0.01,0,1,701MH32-SG,0
NSE,15046,699GS2026,NSE-699GS2026,699GS2026,EQ,CASH,GS,IN0020230028,1.0,0.01,0,1,699GS2026-GS,0
NSE,6352,702AP37,NSE-702AP37,702APSDL37,EQ,CASH,SG,IN1020210366,100.0,0.01,0,1,702AP37-SG,0
NSE,29614,704REC28,NSE-704REC28,704REC28,EQ,CASH,N4,INE020B07GZ9,1.0,0.01,0,1,704REC28-N4,0
NSE,29607,704IRFC28,NSE-704IRFC28,704IRFC28,EQ,CASH,N6,INE053F07595,1.0,0.01,0,1,704IRFC28-N6,0
NSE,15110,704IRFC26,NSE-704IRFC26,704IRFC26,EQ,CASH,NL,INE053F07876,1.0,0.01,0,1,704IRFC26-NL,0
NSE,5967,704AP34,NSE-704AP34,704APSDL34,EQ,CASH,SG,IN1020210317,100.0,0.01,0,1,704AP34-SG,0
NSE,14497,704NHAI26,NSE-704NHAI26,704NHAI26,EQ,CASH,NB,INE906B07EM2,1.0,0.01,0,1,704NHAI26-NB,0
NSE,11722,707IRFC25,NSE-707IRFC25,707IRFC25,EQ,CASH,NF,INE053F07793,1.0,0.01,0,1,707IRFC25-NF,0
NSE,9047,710GS2029,NSE-710GS2029,71GOI2029,EQ,CASH,GS,IN0020220011,1.0,0.01,0,1,710GS2029-GS,0
NSE,5968,709AP39,NSE-709AP39,709APSDL39,EQ,CASH,SG,IN1020210325,100.0,0.01,0,1,709AP39-SG,0
NSE,5236,714AP41,NSE-714AP41,714APSDL41,EQ,CASH,SG,IN1020210226,100.0,0.01,0,1,714AP41-SG,0
NSE,5044,714AP36,NSE-714AP36,714APSDL36,EQ,CASH,SG,IN1020210200,100.0,0.01,0,1,714AP36-SG,0
NSE,5004,715AP37,NSE-715AP37,715APSDL37,EQ,CASH,SG,IN1020210176,100.0,0.01,0,1,715AP37-SG,0
NSE,11949,714NHAI26,NSE-714NHAI26,714NHAI26,EQ,CASH,N7,INE906B07EG4,1.0,0.01,0,1,714NHAI26-N7,0
NSE,8190,716KA36,NSE-716KA36,716KARSDL36,EQ,CASH,SG,IN1920210367,100.0,0.01,0,1,716KA36-SG,0
NSE,18561,716GS2050,NSE-716GS2050,716GOI2050,EQ,CASH,GS,IN0020200054,1.0,0.01,0,1,716GS2050-GS,0
NSE,18474,719GS2060,NSE-719GS2060,719GOI2060,EQ,CASH,GS,IN0020200039,1.0,0.01,0,1,719GS2060-GS,0
NSE,29650,719HUDCO28,NSE-719HUDCO28,HUDCO (N7),EQ,CASH,N7,INE031A07881,1.0,0.01,0,1,719HUDCO28-N7,0
NSE,5232,71MH36,NSE-71MH36,710MAHSDL36,EQ,CASH,SG,IN2220210206,100.0,0.01,0,1,71MH36-SG,0
NSE,7707,722KA35,NSE-722KA35,722KASDL35,EQ,CASH,SG,IN1920210235,100.0,0.01,0,1,722KA35-SG,0
NSE,313,71MH32,NSE-71MH32,71MAHSDL32,EQ,CASH,SG,IN2220200207,100.0,0.01,0,1,71MH32-SG,0
NSE,2578,722KA38A,NSE-722KA38A,722KARSDL38,EQ,CASH,SG,IN1920200640,100.0,0.01,0,1,722KA38A-SG,0
NSE,2693,724KA38,NSE-724KA38,724KASDL38,EQ,CASH,SG,IN1920200665,100.0,0.01,0,1,724KA38-SG,0
NSE,9537,727GS2026,NSE-727GS2026,727GOI2026,EQ,CASH,GS,IN0020190016,1.0,0.01,0,1,727GS2026-GS,0
NSE,8027,726GS2029,NSE-726GS2029,726GS2029,EQ,CASH,GS,IN0020180454,1.0,0.01,0,1,726GS2029-GS,0
NSE,10722,726GS2032,NSE-726GS2032,726GOI2032,EQ,CASH,GS,IN0020220060,1.0,0.01,0,1,726GS2032-GS,0
NSE,11748,725IRFC35,NSE-725IRFC35,725IRFC35,EQ,CASH,NH,INE053F07819,1.0,0.01,0,1,725IRFC35-NH,0
NSE,15134,729IRFC26,NSE-729IRFC26,729IRFC26,EQ,CASH,NN,INE053F07892,1.0,0.01,0,1,729IRFC26-NN,0
NSE,10741,728NTPC30B,NSE-728NTPC30B,728NTPC30B,EQ,CASH,N9,INE733E07JS0,1.0,0.01,0,1,728NTPC30B-N9,0
NSE,11730,728IRFC30,NSE-728IRFC30,728IRFC30,EQ,CASH,NG,INE053F07801,1.0,0.01,0,1,728IRFC30-NG,0
NSE,14499,729NHAI26,NSE-729NHAI26,729NHAI26,EQ,CASH,NC,INE906B07EN0,1.0,0.01,0,1,729NHAI26-NC,0
NSE,19685,733GS2026,NSE-733GS2026,733GS26J24,EQ,CASH,GS,IN0020230119,1.0,0.01,0,1,733GS2026-GS,0
NSE,11751,732IRFC25,NSE-732IRFC25,732IRFC25,EQ,CASH,NI,INE053F07827,1.0,0.01,0,1,732IRFC25-NI,0
NSE,19972,735PFCL35,NSE-735PFCL35,735PFC35,EQ,CASH,N1,INE134E07570,1.0,0.01,0,1,735PFCL35-N1,0
NSE,11954,735NHAI31,NSE-735NHAI31,735NHAI31,EQ,CASH,N9,INE906B07EI0,1.0,0.01,0,1,735NHAI31-N9,0
NSE,2404,735KA40,NSE-735KA40,735KARSDL40,EQ,CASH,SG,IN1920200616,100.0,0.01,0,1,735KA40-SG,0
NSE,15112,735IRFC31,NSE-735IRFC31,735IRFC31,EQ,CASH,NM,INE053F07884,1.0,0.01,0,1,735IRFC31-NM,0
NSE,20032,735NABAR31,NSE-735NABAR31,735NABARD31,EQ,CASH,N1,INE261F07057,1.0,0.01,0,1,735NABAR31-N1,0
NSE,29323,734IRFC28,NSE-734IRFC28,734IRFC28,EQ,CASH,N4,INE053F07579,1.0,0.01,0,1,734IRFC28-N4,0
NSE,19974,736PFCL28,NSE-736PFCL28,736PFCL28,EQ,CASH,N2,INE134E07349,1.0,0.01,0,1,736PFCL28-N2,0
NSE,10744,737NTPC35C,NSE-737NTPC35C,737NTPC35C,EQ,CASH,,INE733E07JT8,1.0,0.01,0,1,737NTPC35C-NA,0
NSE,10931,736GS2052,NSE-736GS2052,736GS2052,EQ,CASH,GS,IN0020220086,1.0,0.01,0,1,736GS2052-GS,0
